Read plot3D grid finished!
Solve in transient mode with 1 outer corrector
Time Step 1, t = 0, step size = 86400
Outer Iteration 0, residual norm = 1, norm/norm0 = 1
  Iteration 0, residual norm = 8718321.918, normr/normr0 = 1
  Iteration 1, residual norm = 2066748.39, normr/normr0 = 0.2370580497
  Iteration 2, residual norm = 1070033.721, normr/normr0 = 0.122733908
  Iteration 3, residual norm = 599506.4043, normr/normr0 = 0.06876396742
  Iteration 4, residual norm = 350948.7167, normr/normr0 = 0.040254159
  Iteration 5, residual norm = 211526.5783, normr/normr0 = 0.02426230418
  Iteration 6, residual norm = 122512.0783, normr/normr0 = 0.01405225449
  Iteration 7, residual norm = 70719.67705, normr/normr0 = 0.008111615712
  Iteration 8, residual norm = 43346.85504, normr/normr0 = 0.004971926415
  Iteration 9, residual norm = 26221.2063, normr/normr0 = 0.003007597855
  Iteration 10, residual norm = 15706.35935, normr/normr0 = 0.001801534687
  Iteration 11, residual norm = 9778.992752, normr/normr0 = 0.001121659976
  Iteration 12, residual norm = 5651.3366, normr/normr0 = 0.0006482138023
  Iteration 13, residual norm = 3143.651034, normr/normr0 = 0.0003605798299
  Iteration 14, residual norm = 1927.214713, normr/normr0 = 0.0002210534012
  Iteration 15, residual norm = 1130.196968, normr/normr0 = 0.000129634691
  Iteration 16, residual norm = 621.9087214, normr/normr0 = 7.133353497e-05
  Iteration 17, residual norm = 356.0624343, normr/normr0 = 4.084070739e-05
  Iteration 18, residual norm = 187.0020088, normr/normr0 = 2.144931221e-05
  Iteration 19, residual norm = 98.03290957, normr/normr0 = 1.124447004e-05
  Iteration 20, residual norm = 55.13752336, normr/normr0 = 6.324327535e-06
  Iteration 21, residual norm = 31.61274338, normr/normr0 = 3.6260124e-06
  Iteration 22, residual norm = 17.09716255, normr/normr0 = 1.961061166e-06
  Iteration 23, residual norm = 9.184365214, normr/normr0 = 1.053455619e-06
  Iteration 24, residual norm = 5.287731615, normr/normr0 = 6.06507957e-07
  Iteration 25, residual norm = 2.657787751, normr/normr0 = 3.048508389e-07
  Iteration 26, residual norm = 1.317835497, normr/normr0 = 1.511570127e-07
  Iteration 27, residual norm = 0.7146695892, normr/normr0 = 8.19732967e-08
  Iteration 28, residual norm = 0.4069345364, normr/normr0 = 4.667578695e-08
  Iteration 29, residual norm = 0.2073070745, normr/normr0 = 2.3778323e-08
